date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:16:34	295/295	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2031%20Mar%202023%2008:16:34%20GMT	http://localhost/robots.txt		(from )
15:16:40	159047/159047	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Mar%202023%2008:16:34%20GMT	http://localhost/pemikatwalet-cn/	D:/pemikatwalet(salinan)/localhost/pemikatwalet-cn/index.html	(from )
15:16:40	47239/47239	---M--	200	added ('OK')	text/css	etag:%22b887-5f800edc158c5%22	http://localhost/pemikatwalet-cn/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=4.1.1	D:/pemikatwalet(salinan)/localhost/pemikatwalet-cn/wp-content/themes/astra/assets/css/minified/frontend.min0235.css	(from http://localhost/pemikatwalet-cn/)
15:16:42	740/740	---M--	200	added ('OK')	application/rss+xml	etag:%2243f88ed6f2323a2cf5738c4207344316%22	http://localhost/pemikatwalet-cn/comments/feed/	D:/pemikatwalet(salinan)/localhost/pemikatwalet-cn/comments/feed/index.html	(from http://localhost/pemikatwalet-cn/)
15:16:42	3412/3412	---M--	200	added ('OK')	text/css	etag:%22d54-5f800edc16da0%22	http://localhost/pemikatwalet-cn/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=4.1.1	D:/pemikatwalet(salinan)/localhost/pemikatwalet-cn/wp-content/themes/astra/assets/css/minified/menu-animation.min0235.css	(from http://localhost/pemikatwalet-cn/)
15:16:42	3304/3304	---M--	200	added ('OK')	font/woff	etag:%22ce8-5f800edc2cf7e%22	http://localhost/pemikatwalet-cn/wp-content/themes/astra/assets/fonts/astra.woff	D:/pemikatwalet(salinan)/localhost/pemikatwalet-cn/wp-content/themes/astra/assets/fonts/astra.woff	(from http://localhost/pemikatwalet-cn/)
15:16:42	97517/97517	---M--	200	added ('OK')	text/css	etag:%2217ced-5f814acc1b552%22	http://localhost/pemikatwalet-cn/wp-includes/css/dist/block-library/style.min.css?ver=6.2	D:/pemikatwalet(salinan)/localhost/pemikatwalet-cn/wp-includes/css/dist/block-library/style.minae48.css	(from http://localhost/pemikatwalet-cn/)
15:16:43	776/776	---M--	200	added ('OK')	text/css	etag:%22308-5f800d78573b6%22	http://localhost/pemikatwalet-cn/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.13	D:/pemikatwalet(salinan)/localhost/pemikatwalet-cn/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor1f62.css	(from http://localhost/pemikatwalet-cn/)
15:16:44	19363/19363	---M--	200	added ('OK')	text/css	etag:%224ba3-5f800d5da0c27%22	http://localhost/pemikatwalet-cn/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0	D:/pemikatwalet(salinan)/localhost/pemikatwalet-cn/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from http://localhost/pemikatwalet-cn/)
15:16:44	87331/87331	---M--	200	added ('OK')	text/css	etag:%2215523-5f800d5d4c63c%22	http://localhost/pemikatwalet-cn/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.11.5	D:/pemikatwalet(salinan)/localhost/pemikatwalet-cn/wp-content/plugins/elementor/assets/css/frontend-lite.mina3be.css	(from http://localhost/pemikatwalet-cn/)
15:16:45	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-5f800d5dd701b%22	http://localhost/pemikatwalet-cn/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	D:/pemikatwalet(salinan)/localhost/pemikatwalet-cn/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://localhost/pemikatwalet-cn/)
15:16:46	1590/1590	---M--	200	added ('OK')	text/css	etag:%22636-5f800fd8d0b5f%22	http://localhost/pemikatwalet-cn/wp-content/uploads/elementor/css/post-5.css?ver=1680058021	D:/pemikatwalet(salinan)/localhost/pemikatwalet-cn/wp-content/uploads/elementor/css/post-5fe08.css	(from http://localhost/pemikatwalet-cn/)
